timestamp,solar_input_w,solar_panel_temp_c,battery_voltage_v,battery_charge_ah,battery_temp_c,bus_voltage_v,bus_current_a,payload_temp_c
2018-03-31T04:15:00Z,3094.4,45.2,70.1,96.0,22.4,70.1,2.15,22.4
2018-03-31T04:16:00Z,3098.4,45.3,70.2,96.1,22.5,70.2,2.12,22.5
2018-03-31T04:17:00Z,3094.4,45.2,70.1,96.2,22.7,70.1,2.18,22.7
2018-03-31T04:18:00Z,3090.8,45.1,70.0,96.3,22.8,70.0,2.20,22.8
2018-03-31T04:19:00Z,3094.4,45.2,70.1,96.4,23.1,70.1,2.14,23.1
2018-03-31T04:20:00Z,3098.0,45.3,70.2,96.5,23.3,70.2,2.10,23.3
2018-03-31T04:21:00Z,3087.2,44.9,69.8,96.0,24.1,69.8,5.45,24.1
2018-03-31T04:21:05Z,2693.6,44.3,65.4,95.5,26.8,65.4,18.90,26.8
2018-03-31T04:21:10Z,1089.0,41.2,42.1,94.0,34.2,42.1,55.20,34.2
2018-03-31T04:21:15Z,351.5,22.5,18.5,92.0,38.5,18.5,2.10,38.5
2018-03-31T04:21:20Z,29.4,12.1,4.2,90.0,45.0,4.2,0.00,45.0
2018-03-31T04:21:25Z,0.0,8.5,0.0,88.0,52.0,0.0,0.00,52.0
